,DrugA,DrugB
832,Reserpine,Azelastine
833,Ziprasidone,Nabilone
834,Chlorthalidone,Hydromorphone
835,Methotrexate,Mefenamic acid
836,Morphine,Brimonidine
837,Phenytoin,Pramipexole
838,Formoterol,Dopamine
839,Streptokinase,Desirudin
840,Repaglinide,Histrelin
841,Caffeine,Indacaterol
842,Amitriptyline,Mepivacaine
843,Tiaprofenic acid,Omacetaxine mepesuccinate
844,Tetrabenazine,Rotigotine
845,Telaprevir,Saxagliptin
846,Chlorothiazide,Ethanol
847,Verapamil,Abiraterone
848,Pramipexole,Amobarbital
849,Ziprasidone,Canagliflozin
850,Roflumilast,Belimumab
851,Butabarbital,Lamotrigine
852,Benzylpenicillin,Kanamycin
853,Doxylamine,Stiripentol
854,Glucagon,Pimozide
855,Morphine,Ramosetron
856,Chlorzoxazone,Perampanel
857,Digoxin,Etravirine
858,Citalopram,Ibrutinib
859,Perindopril,Sodium aurothiomalate
860,Secobarbital,Chlorothiazide
861,Topiramate,Methscopolamine
862,Modafinil,Clarithromycin
863,Mycophenolate mofetil,Bacampicillin
864,Meperidine,Tranylcypromine
865,Doxepin,Lithium cation
866,Primidone,Rotigotine
867,Warfarin,Cephaloglycin
868,Ospemifene,Idelalisib
869,Linezolid,Amisulpride
870,Fenoterol,Pheniramine
871,Valproic acid,Ritonavir
872,Mitotane,Rilpivirine
873,Flunisolide,Chlorothiazide
874,Mesoridazine,Desvenlafaxine
875,Disopyramide,Acetohexamide
876,Budesonide,Deferasirox
877,Insulin human,Aripiprazole
878,Leuprolide,Linagliptin
879,Valsartan,Acetaminophen
880,Nelfinavir,Naloxegol
881,Ceftriaxone,Ribostamycin
882,Linezolid,Mephentermine
883,Desmopressin,Warfarin
884,Tacrine,Promazine
885,Irinotecan,Ivacaftor
886,Hydralazine,Moxonidine
887,Loratadine,Hydroxyzine
888,Insulin human,Everolimus
889,Acenocoumarol,Sulodexide
890,Acetohexamide,Hydrocortisone
891,Meprobamate,Dronabinol
892,Dicoumarol,Salsalate
893,Insulin lispro,Dapagliflozin
894,Trastuzumab,Trastuzumab emtansine
895,Azelastine,Butylscopolamine
896,Pramipexole,Ezogabine
897,Guanfacine,Dasatinib
898,Tetrabenazine,Abiraterone
899,Erythromycin,Nintedanib
900,Lorazepam,Methotrimeprazine
901,Amifostine,Azilsartan medoxomil
902,Ergometrine,Posaconazole
903,Brimonidine,Sotalol
904,Tocilizumab,Crizotinib
905,Amphetamine,Imipramine
906,Clopidogrel,Amiodarone
907,Cyclosporine,Foscarnet
908,Zolpidem,Cyclobenzaprine
909,Capecitabine,Sipuleucel-T
910,Methohexital,Telmisartan
911,Apomorphine,Bupropion
912,Remoxipride,Paroxetine
913,Lansoprazole,Tiludronic acid
914,Pentostatin,Leflunomide
915,Bromazepam,Rotigotine
916,Hydroxyzine,Dimenhydrinate
917,Disopyramide,Bosentan
918,Chlorzoxazone,Droperidol
919,Baclofen,Clobazam
920,Fluvoxamine,Selegiline
921,Olanzapine,Insulin detemir
922,Treprostinil,Sotalol
923,Tasimelteon,Sodium oxybate
924,Glimepiride,Hydrochlorothiazide
925,Dabigatran etexilate,Dalteparin
926,Metolazone,Risperidone
927,Fluvoxamine,
928,Doxycycline,Nafcillin
929,Acetylsalicylic acid,Vorapaxar
930,Silodosin,Idelalisib
931,Erythromycin,Bosentan
932,Diazoxide,Saxagliptin
933,Ketamine,Lumacaftor
934,Dexmedetomidine,Iobenguane
935,Diltiazem,Fentanyl
936,Primidone,Metipranolol
937,Metformin,Primidone
938,Dronabinol,Remifentanil
939,Prochlorperazine,Thiopental
940,Losartan,Siltuximab
941,Abciximab,Levonorgestrel
942,Enzalutamide,Siltuximab
943,Treprostinil,Diclofenac
944,Protriptyline,Sulpiride
945,Reserpine,Rifaximin
946,Icosapent,Mefenamic acid
947,Phenytoin,Cabazitaxel
948,Methsuximide,Mianserin
949,Flurbiprofen,Floctafenine
950,Teniposide,Leflunomide
951,Selegiline,Pholcodine
952,Framycetin,Cefotaxime
953,Bendroflumethiazide,Levorphanol
954,Dronabinol,Fosamprenavir
955,Calcium carbonate,Elvitegravir
956,Vardenafil,Felodipine
957,Dolasetron,Mifepristone
958,Phenytoin,Moclobemide
959,Verteporfin,Hydrochlorothiazide
960,Peginterferon alfa-2b,Gefitinib
961,Amlodipine,Phenobarbital
962,Vancomycin,Colistin
963,Acetaminophen,Clenbuterol
964,Darunavir,Temsirolimus
965,Methadone,Clotiazepam
966,Ramelteon,Paraldehyde
967,Diltiazem,Zuclopenthixol
968,Levothyroxine,Piracetam
969,Mesalazine,Rabeprazole
970,Atorvastatin,Brentuximab vedotin
971,Gemcitabine,Roflumilast
972,Diphenhydramine,Aclidinium
973,Phenindione,Piroxicam
974,Reserpine,Sertraline
975,Triprolidine,Labetalol
976,Tramadol,Darunavir
977,Goserelin,Bortezomib
978,Tocilizumab,Ivabradine
979,Erlotinib,Luliconazole
980,Insulin lispro,Bumetanide
981,Scopolamine,Rufinamide
982,Sufentanil,Paraldehyde
983,Iloprost,Moxonidine
984,Losartan,Levodopa
985,Risedronic acid,Amobarbital
986,Fluoxetine,Edetic acid
987,Hyaluronidase (ovine),Bismuth subsalicylate
988,Valproic acid,Promazine
989,Rosiglitazone,Gemfibrozil
990,Bleomycin,
991,Rifapentine,Flunarizine
992,Sirolimus,Siltuximab
993,Boceprevir,Dienogest
994,Etonogestrel,Chlorpropamide
995,Indomethacin,Netilmicin
996,Ergotamine,Amisulpride
997,Dronedarone,Lomitapide
998,Lorazepam,Levetiracetam
999,Teniposide,Palbociclib
1000,Enalapril,Drospirenone
1001,Mitotane,Exemestane
1002,Warfarin,Enoxaparin
1003,Ticlopidine,Ifosfamide
1004,Prazosin,Perhexiline
1005,Pentobarbital,Rotigotine
1006,Sulfisoxazole,Phenelzine
1007,Ziconotide,Perampanel
1008,Salbutamol,Naphazoline
1009,Ranolazine,Dasatinib
1010,Insulin human,Progesterone
1011,Natalizumab,Fluorouracil
1012,Quinine,Verapamil
1013,Magnesium sulfate,Ibandronate
1014,Clorazepic acid,Paroxetine
1015,Tacrolimus,Vedolizumab
1016,Amphotericin B,Streptomycin
1017,Olanzapine,Tedizolid phosphate
1018,Acetophenazine,Lithium cation
1019,Sunitinib,Sipuleucel-T
1020,Quinidine,Doxorubicin
1021,Butobarbital,Empagliflozin
1022,Rifampicin,Vemurafenib
1023,Cimetidine,Capecitabine
1024,Leflunomide,Pazopanib
1025,Tizanidine,Bretylium
1026,Nitrendipine,Calcium gluconate
1027,Bivalirudin,Ibrutinib
1028,Sufentanil,Metipranolol
1029,Acetohexamide,Cyproterone acetate
1030,Protriptyline,Tacrine
1031,Glyburide,Rifampicin
1032,Pegvisomant,Saxagliptin
1033,Abiraterone,Stiripentol
1034,Aldesleukin,Torasemide
1035,Atenolol,Diazoxide
1036,Botulinum Toxin Type B,Procyclidine
1037,Bosentan,Quinidine
1038,Zolmitriptan,Benzquinamide
1039,Buprenorphine,Promethazine
1040,Prilocaine,Phenazopyridine
1041,Dicoumarol,Chloramphenicol
1042,Clomipramine,Zuclopenthixol
1043,Ropinirole,Chlordiazepoxide
1044,Dapsone,Artemether
1045,Warfarin,Esomeprazole
1046,Liothyronine,Amitriptyline
1047,Quetiapine,Sodium oxybate
1048,Phenytoin,Posaconazole
1049,Rifabutin,Nifedipine
1050,Topiramate,Nimodipine
1051,Modafinil,Conivaptan
1052,Nabilone,Meclizine
1053,Theophylline,Dobutamine
1054,Solifenacin,Simeprevir
1055,Insulin glargine,Drospirenone
1056,Oxcarbazepine,Hydrochlorothiazide
1057,Desmopressin,Hydrocodone
1058,Aprepitant,Buprenorphine
1059,Diclofenac,Enoxaparin
1060,Pioglitazone,Gemfibrozil
1061,Citalopram,Trimipramine
1062,Hydroxyzine,Pipotiazine
1063,Simeprevir,Luliconazole
1064,Dofetilide,Clarithromycin
1065,Phenytoin,Caspofungin
1066,Nelfinavir,Dexamethasone
1067,Remoxipride,Ergotamine
1068,Zolpidem,Diphenhydramine
1069,Reserpine,Cabergoline
1070,Phenytoin,Vigabatrin
1071,Vardenafil,Etravirine
1072,Sulindac,Dimethyl sulfoxide
1073,Methyclothiazide,Morphine
1074,Pentamidine,Stanolone
1075,Lithium cation,Phendimetrazine
1076,Acetylsalicylic acid,Sunitinib
1077,Dimenhydrinate,Rotigotine
1078,Trastuzumab emtansine,Denosumab
1079,Trimethoprim,Irbesartan
1080,Tadalafil,Telaprevir
1081,Simvastatin,Fenofibrate
1082,Primidone,Eslicarbazepine acetate
1083,Treprostinil,Dipyridamole
1084,Carvedilol,Abiraterone
1085,Hydroxyzine,Guanfacine
1086,Glucagon,Clemastine
1087,Nevirapine,Bosentan
1088,Bacitracin,Neomycin
1089,Isosorbide mononitrate,Fusidic acid
1090,Losartan,Phenelzine
1091,Atazanavir,Colchicine
1092,Carteolol,Hexobarbital
1093,Ketoprofen,Floctafenine
1094,Torasemide,Atracurium besylate
1095,Brimonidine,Magnesium sulfate
1096,Hydromorphone,Orphenadrine
1097,Lorazepam,Clonidine
1098,Nafcillin,Tobramycin
1099,Felbamate,Dasatinib
1100,Esomeprazole,Iron Dextran
1101,Bexarotene,Zolpidem
1102,Phenytoin,Phendimetrazine
1103,Hydroflumethiazide,Hydrocodone
1104,Zolmitriptan,Chlormezanone
1105,Imipramine,Triflupromazine
1106,Goserelin,Desflurane
1107,Sulfamethoxazole,
1108,Citalopram,Isoflurane
1109,Budesonide,Palbociclib
1110,Zolpidem,Triazolam
1111,Tolterodine,Itraconazole
1112,Quinine,Azilsartan medoxomil
1113,Cephaloglycin,Probenecid
1114,Sulindac,Hydralazine
1115,Sulfadiazine,Procaine
1116,Bevacizumab,Mitoxantrone
1117,Phentermine,Prochlorperazine
1118,Verteporfin,Floctafenine
1119,Epinephrine,Isometheptene
1120,Phenobarbital,Luliconazole
1121,Colesevelam,
1122,Amlodipine,Magnesium oxide
1123,Celecoxib,Hydralazine
1124,Nafcillin,Warfarin
1125,Rifabutin,Raltegravir
1126,Dicoumarol,Norethisterone
1127,Vinorelbine,Ivacaftor
1128,Sertindole,Quinagolide
1129,Tenecteplase,Citalopram
1130,Tolmetin,Warfarin
1131,Sulpiride,Azelastine
1132,Atazanavir,Simeprevir
1133,Irinotecan,Nilotinib
1134,Phendimetrazine,Sertindole
1135,Doxepin,Mirabegron
1136,Pamidronic acid,Mefenamic acid
1137,Methyldopa,Procarbazine
1138,Diazepam,Saquinavir
1139,Streptokinase,Tiaprofenic acid
1140,Imipramine,Magnesium sulfate
1141,Verapamil,Dabigatran etexilate
1142,Cyclosporine,Fenoprofen
1143,Iron Dextran,Sodium bicarbonate
1144,Simeprevir,Hydroxyprogesterone caproate
1145,Natalizumab,Azacitidine
1146,Timolol,Hexobarbital
1147,Methadone,Mitotane
1148,Pimecrolimus,Crizotinib
1149,Tranylcypromine,
1150,Octreotide,Zuclopenthixol
1151,Fondaparinux,Desvenlafaxine
1152,Metamfetamine,Doxofylline
1153,Meclizine,Trichlormethiazide
1154,Hydrochlorothiazide,Alogliptin
1155,Orphenadrine,Aclidinium
1156,Nisoldipine,Levodopa
1157,Ascorbic acid,Lisdexamfetamine
1158,Amphetamine,Clomipramine
1159,Torasemide,Fosinopril
1160,Mitotane,Itraconazole
1161,Dantrolene,Ivacaftor
1162,Clobazam,Droperidol
1163,Abciximab,Heparin
1164,Chlorpheniramine,Mirabegron
1165,Oxaprozin,Ridogrel
1166,Trastuzumab,Dactinomycin
1167,Morphine,Trimipramine
1168,Epirubicin,Cyclophosphamide
1169,Ketorolac,Enoxaparin
1170,Temazepam,Dronabinol
1171,Ropinirole,Promethazine
1172,Carisoprodol,Paroxetine
1173,Oxytetracycline,Calcium carbonate
1174,Magnesium sulfate,Rifampicin
1175,Isoniazid,Tegafur
1176,Simvastatin,Etravirine
1177,Fluoxetine,Haloperidol
1178,Repaglinide,Sparfloxacin
1179,Risperidone,Rufinamide
1180,Sipuleucel-T,Idelalisib
1181,Thioridazine,Metamfetamine
1182,Trifluoperazine,Rizatriptan
1183,Hydroxyzine,Flunarizine
1184,Rifabutin,Prednisone
1185,Goserelin,Propafenone
1186,Desogestrel,Gliquidone
1187,Tranylcypromine,Fluspirilene
1188,Benzphetamine,Mesoridazine
1189,Chlorthalidone,Tadalafil
1190,Telithromycin,Vilazodone
1191,Nefazodone,Olaparib
1192,Imipramine,Cinacalcet
1193,Benazepril,Sirolimus
1194,Verapamil,
1195,Methadone,Bromazepam
1196,Caffeine,Ketorolac
1197,Fusidic acid,Vilanterol
1198,Amphotericin B,Cortisone acetate
1199,Phenytoin,Isoniazid
1200,Doxepin,Orphenadrine
1201,Pegaspargase,Sipuleucel-T
1202,Streptokinase,Rivaroxaban
1203,Desogestrel,Treprostinil
1204,Isocarboxazid,Tiotropium
1205,Docetaxel,Fusidic acid
1206,Allopurinol,Chlorpropamide
1207,Vitamin E,Ketorolac
1208,Cilostazol,Simeprevir
1209,Midodrine,Propylhexedrine
1210,Bromocriptine,Palbociclib
1211,Thalidomide,Clonazepam
1212,Quinapril,Dapoxetine
1213,Anistreplase,Cangrelor
1214,Chlorthalidone,Paroxetine
1215,Acenocoumarol,Amorolfine
1216,Enalapril,Trichlormethiazide
1217,Escitalopram,Acenocoumarol
1218,Chlorzoxazone,Paraldehyde
1219,Modafinil,Ibrutinib
1220,Caffeine,Hydroflumethiazide
1221,Gemfibrozil,Pirfenidone
1222,Tranylcypromine,Bretylium
1223,Vitamin E,Desvenlafaxine
1224,Enalapril,Canagliflozin
1225,Tadalafil,Phenobarbital
1226,Droperidol,Flibanserin
1227,Linezolid,Fluspirilene
1228,Cimetidine,Tamsulosin
1229,Silodosin,Stiripentol
1230,Chlorthalidone,Codeine
1231,Nortriptyline,St. John's Wort
1232,Pantoprazole,Nelfinavir
1233,Mesalazine,Sodium bicarbonate
1234,Flecainide,
1235,Chlorpropamide,Risperidone
1236,Methylprednisolone,Rifampicin
1237,Tenecteplase,Ibuprofen
1238,Succinylcholine,Pyridostigmine
1239,Carphenazine,Escitalopram
1240,Calfactant,Ceritinib
1241,Glucagon,Olanzapine
1242,Carbamazepine,Mitotane
1243,Levobunolol,Ceritinib
1244,Pazopanib,Tofacitinib
1245,Desvenlafaxine,Methylene blue
1246,Nicardipine,Dabrafenib
1247,Phenobarbital,Pirfenidone
1248,Duloxetine,Amyl Nitrite
1249,Lorazepam,Triprolidine
1250,Aprepitant,Fludrocortisone
1251,Dronabinol,Ezogabine
1252,Granisetron,Milnacipran
1253,Nimodipine,Nafcillin
1254,Verapamil,Eliglustat
1255,Deoxycholic acid,Milnacipran
1256,Cyclosporine,Oxaprozin
1257,Brompheniramine,Metamfetamine
1258,Netilmicin,Vecuronium
1259,Amphetamine,Aminophylline
1260,Phenytoin,Brexpiprazole
1261,Clarithromycin,Bepridil
1262,Lovastatin,Ticagrelor
1263,Sulpiride,Brexpiprazole
1264,Erythromycin,Acetohexamide
1265,Quinine,Quinapril
1266,Niacin,Rosuvastatin
1267,Indomethacin,Ridogrel
1268,Aprepitant,Temsirolimus
1269,Nicardipine,Lacosamide
1270,Telaprevir,Suvorexant
1271,Nisoldipine,Etravirine
1272,Metformin,Lopinavir
1273,Hydromorphone,Cathinone
1274,Zonisamide,Orphenadrine
1275,Piroxicam,Streptomycin
1276,Warfarin,Proguanil
1277,Rufinamide,Pomalidomide
1278,Carbinoxamine,Mirabegron
1279,Methadone,Conivaptan
1280,Ritonavir,Crizotinib
1281,Glyburide,Carbocisteine
1282,Zopiclone,Cobicistat
1283,Sulpiride,Fluoxetine
1284,Biotin,Dicoumarol
1285,Codeine,Lanreotide
1286,Atracurium besylate,Ribostamycin
1287,Repaglinide,Fosamprenavir
1288,Phendimetrazine,Molindone
1289,Azelastine,Mirabegron
1290,Nelfinavir,Rifabutin
1291,Felodipine,Obinutuzumab
1292,Eplerenone,Nefazodone
1293,Daunorubicin,Tofacitinib
1294,Amiodarone,Artesunate
1295,Secobarbital,Chloramphenicol
1296,Apremilast,Dabrafenib
1297,Ritonavir,Medroxyprogesterone acetate
1298,Hexobarbital,Empagliflozin
1299,Ritonavir,Edoxaban
1300,Butalbital,Verapamil
1301,Olanzapine,Thalidomide
1302,Midazolam,Methotrimeprazine
1303,Procyclidine,Cyclobenzaprine
1304,Probenecid,Cefacetrile
1305,Diltiazem,St. John's Wort
1306,Flunisolide,Imatinib
1307,Triflupromazine,Ergotamine
1308,Medroxyprogesterone acetate,Gliclazide
1309,Moexipril,Pentoxifylline
1310,Trastuzumab,Nilotinib
1311,Etodolac,Aliskiren
1312,Mycophenolic acid,Ofloxacin
1313,Procyclidine,Oxycodone
1314,Galantamine,Atracurium besylate
1315,Methotrimeprazine,Amisulpride
1316,Tramadol,Amiloride
1317,Zolpidem,Asenapine
1318,Fluoxetine,Chlormezanone
1319,Dydrogesterone,Danaparoid
1320,Irinotecan,Primidone
1321,Prazosin,Gabapentin
1322,Oxybutynin,Mirabegron
1323,Leflunomide,Rilonacept
1324,Abiraterone,Siltuximab
1325,Tolvaptan,Ivacaftor
1326,Venlafaxine,Siltuximab
1327,Triazolam,St. John's Wort
1328,Trimipramine,
1329,Hydrocortisone,Roflumilast
1330,Itraconazole,Ibrutinib
1331,Chloramphenicol,Metamizole
1332,Tofacitinib,
1333,Ridogrel,Aprotinin
1334,Reserpine,Metoclopramide
1335,Alteplase,Fenoprofen
1336,Midodrine,Labetalol
1337,Alprazolam,Tipranavir
1338,Isoniazid,Aluminum hydroxide
1339,Goserelin,Lithium cation
1340,Leuprolide,Protriptyline
1341,Nelfinavir,Sufentanil
1342,Voriconazole,Cobicistat
1343,Colestipol,Propranolol
1344,Hydromorphone,Ramosetron
1345,Bosentan,Doxorubicin
1346,Nicardipine,Siltuximab
1347,Clozapine,Methimazole
1348,Isoniazid,Artesunate
1349,Atenolol,Dronedarone
1350,Omeprazole,Fosphenytoin
1351,Paliperidone,Lithium cation
1352,Icosapent,Ethinylestradiol
1353,Dexamethasone,Ticagrelor
1354,Quinidine,Edoxaban
1355,Dacarbazine,Tofacitinib
1356,Acetaminophen,Orciprenaline
1357,Pramipexole,Stiripentol
1358,Clonidine,Risperidone
1359,Aripiprazole,Insulin glulisine
1360,Buspirone,Suvorexant
1361,Ziprasidone,Rufinamide
1362,Phenprocoumon,Heparin
1363,Telithromycin,Romidepsin
1364,Moxifloxacin,Sucralfate
1365,Salbutamol,Chlorphentermine
1366,Edetic acid,Insulin detemir
1367,Primidone,Olaparib
1368,Erlotinib,Ivacaftor
1369,Morphine,Desipramine
1370,Diltiazem,Hexobarbital
1371,Ridogrel,Nadroparin
1372,Venlafaxine,Fencamfamin
1373,Levocabastine,Mianserin
1374,Esmolol,Primidone
1375,Olanzapine,Cyclobenzaprine
1376,Tenecteplase,Abciximab
1377,Tenecteplase,Prasugrel
1378,Fluoxetine,Thioridazine
1379,Brimonidine,Quetiapine
1380,Primidone,Dronedarone
1381,Timolol,Tranylcypromine
1382,Nintedanib,Desirudin
1383,Vitamin E,Vilazodone
1384,Phenelzine,Phenoxybenzamine
1385,Leuprolide,Bromocriptine
1386,Medroxyprogesterone acetate,Alogliptin
1387,Fluconazole,Domperidone
1388,Minoxidil,Atazanavir
1389,Buspirone,Chlormezanone
1390,Buspirone,Triflupromazine
1391,Imatinib,Ifosfamide
1392,Duloxetine,Acetophenazine
1393,Nortriptyline,Orciprenaline
1394,Meprobamate,Nabilone
1395,Fludrocortisone,Darunavir
1396,Topiramate,Carbamazepine
1397,Tositumomab,Dalteparin
1398,Baclofen,Oxycodone
1399,Theophylline,Mestranol
1400,Metaxalone,Paraldehyde
1401,Trifluoperazine,Benzphetamine
1402,Tranylcypromine,Fenoterol
1403,Felbamate,Saxagliptin
1404,Acetazolamide,Tapentadol
1405,Vorapaxar,Cobicistat
1406,Mycophenolate mofetil,Benzylpenicillin
1407,Zolpidem,Zaleplon
1408,Flucloxacillin,Methotrexate
1409,Risperidone,Metipranolol
1410,Fluvoxamine,Deferasirox
1411,Indomethacin,Tobramycin
1412,Nelfinavir,Isavuconazonium
1413,Colestipol,Digoxin
1414,Orlistat,Stiripentol
1415,Rifampicin,Boceprevir
1416,Tiaprofenic acid,Ribostamycin
1417,Trimipramine,Chlormezanone
1418,Trimipramine,Mesoridazine
1419,Clarithromycin,Ulipristal
1420,Isoniazid,Cortisone acetate
1421,Beclomethasone dipropionate,Deferasirox
1422,Ceftolozane,Picosulfuric acid
1423,Prazosin,Yohimbine
1424,Treprostinil,Flurbiprofen
1425,Lovastatin,Dabrafenib
1426,Flurazepam,Rufinamide
1427,Butorphanol,Minocycline
1428,Clopidogrel,Rabeprazole
1429,Phentermine,Pheniramine
1430,Trimipramine,Metyrosine
1431,Sucralfate,Sulpiride
1432,Baclofen,Vortioxetine
1433,Mecamylamine,Sulfamethazine
1434,Mesalazine,Cimetidine
1435,Tetracycline,Azidocillin
1436,Methotrimeprazine,Dextroamphetamine
1437,Nimodipine,Terbinafine
1438,Tamsulosin,Fusidic acid
1439,Paroxetine,Enoxaparin
1440,Paroxetine,Levorphanol
1441,Digoxin,Ticagrelor
1442,Nicardipine,Hexobarbital
1443,Tamsulosin,Telithromycin
1444,Trastuzumab,Natalizumab
1445,Doxycycline,Secobarbital
1446,Reserpine,Carteolol
1447,Carteolol,Methacholine
1448,Amiodarone,Everolimus
1449,Desmopressin,Sulindac
1450,Cholecalciferol,Danazol
1451,Tolterodine,Nefazodone
1452,Tramadol,Dabrafenib
1453,Methotrexate,Denosumab
1454,Perindopril,Diazoxide
1455,Goserelin,Vardenafil
1456,Milnacipran,Obinutuzumab
1457,Fluphenazine,Tizanidine
1458,Cathinone,Dexchlorpheniramine maleate
1459,Eletriptan,Palbociclib
1460,Alteplase,Salsalate
1461,Mirtazapine,Stiripentol
1462,Escitalopram,Iobenguane
1463,Olanzapine,Pramlintide
1464,Phentermine,Promazine
1465,Tolbutamide,Alogliptin
1466,Ciprofloxacin,Flibanserin
1467,Cobimetinib,Stiripentol
1468,Methyldopa,Nicorandil
1469,Salsalate,Citric acid
1470,Mifepristone,Apixaban
1471,Bosentan,Dexamethasone
1472,Fenoprofen,Obinutuzumab
1473,Cyclizine,Mianserin
1474,Trimethoprim,Insulin detemir
1475,Aprepitant,Dapoxetine
1476,Clobazam,Luliconazole
1477,Praziquantel,Fusidic acid
1478,Protriptyline,Nabilone
1479,Valproic acid,Rufinamide
1480,Rifabutin,Tamoxifen
1481,Quinine,Warfarin
1482,Meloxicam,Glucosamine
1483,Abiraterone,Pazopanib
1484,Fluconazole,Piroxicam
1485,Aldesleukin,Clobetasol propionate
1486,Anakinra,Abatacept
1487,Pantoprazole,Methotrexate
1488,Atazanavir,Posaconazole
1489,Desflurane,Perampanel
1490,Framycetin,Cefuroxime
1491,Deferiprone,Zinc gluconate
1492,Ranolazine,Fusidic acid
1493,Glyburide,Gliquidone
1494,Heparin,Apixaban
1495,Olanzapine,Levomilnacipran
1496,Memantine,Bupropion
1497,Vildagliptin,Iloperidone
1498,Bupivacaine,Metipranolol
1499,Verapamil,Tacrolimus
1500,Procyclidine,Loxapine
1501,Nitroglycerin,Dapoxetine
1502,Fluoxetine,Clopidogrel
1503,Amoxapine,Thioridazine
1504,Acebutolol,Acepromazine
1505,Metamfetamine,Vilanterol
1506,Succinylcholine,Spectinomycin
1507,Baclofen,Meperidine
1508,Dronabinol,Clenbuterol
1509,Insulin lispro,Articaine
1510,Fludrocortisone,Etodolac
1511,Amlodipine,Hydrocodone
1512,Clarithromycin,Macitentan
1513,Indinavir,Axitinib
1514,Valsartan,Bumetanide
1515,Dronedarone,Enzalutamide
1516,Calcitriol,Mifepristone
1517,Levocabastine,Rotigotine
1518,Tadalafil,Bumetanide
1519,Aldesleukin,Carvedilol
1520,Torasemide,Ipratropium
1521,Bendroflumethiazide,Butorphanol
1522,Sildenafil,Telaprevir
1523,Glimepiride,Saquinavir
1524,Pegaspargase,Trastuzumab
1525,Goserelin,Promazine
1526,,Saxagliptin
1527,Secobarbital,Meloxicam
1528,Fluvoxamine,Flibanserin
1529,Quinidine,Aripiprazole
1530,Esmolol,Vardenafil
1531,Lorazepam,Dantrolene
1532,Phenelzine,Indapamide
1533,Alfuzosin,Siltuximab
1534,Ondansetron,Desipramine
1535,Phentermine,Thiothixene
1536,Methylphenidate,Thiothixene
1537,Desogestrel,Nadroparin
1538,Trastuzumab,Panobinostat
1539,Verapamil,Idarubicin
1540,Levothyroxine,Tolevamer
1541,Potassium chloride,Dimenhydrinate
1542,Solifenacin,Fusidic acid
1543,Esmolol,Disopyramide
1544,Fesoterodine,Siltuximab
1545,Cyclosporine,Tofacitinib
1546,Metolazone,Acetylsalicylic acid
1547,Ranitidine,Saquinavir
1548,Sulfisoxazole,Rifabutin
1549,Erlotinib,Rifampicin
1550,Frovatriptan,Fluspirilene
1551,Torasemide,Triamcinolone
1552,Nevirapine,Bupropion
1553,Irinotecan,Tesmilifene
1554,Zaleplon,Orphenadrine
1555,Fosphenytoin,Paraldehyde
1556,Pegvisomant,Lanreotide
1557,Vincristine,Tocilizumab
1558,Quinine,Atracurium besylate
1559,Lamotrigine,Silodosin
1560,Alfuzosin,Timolol
1561,Rifapentine,Idelalisib
1562,Fentanyl,Thalidomide
1563,Metyrosine,Azelastine
1564,Tenofovir disoproxil,Amikacin
1565,Leuprolide,Sulfisoxazole
1566,Rifampicin,Lumefantrine
1567,Vincristine,Crizotinib
1568,Acetazolamide,Mianserin
1569,Ifosfamide,Enzalutamide
1570,Chlormezanone,Metoclopramide
1571,Theophylline,Halazepam
1572,Celecoxib,Netilmicin
1573,Dutasteride,Cobicistat
1574,Scopolamine,Sodium oxybate
1575,Eszopiclone,Brimonidine
1576,Ibritumomab tiuxetan,Tolmetin
1577,Aripiprazole,Mirabegron
